bacteria genus,factor,kw.ep,kw.eBH,glm.ep,glm.eBH
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Catenulisporales;D_4__Actinospicaceae;D_5__Actinospica,rootstock,0.00047267703448953,0.0266087307572364,0.004197662986685,0.0437547163166388
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Chitinophaga,rootstock,0.0017026485535984,0.0471070465760376,0.00048283312952749,0.0215824359839036
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Chitinophagales;D_4__Chitinophagaceae;D_5__Niastella,rootstock,0.00042893582388819,0.0264123543268849,6.64075936883348e-05,0.00696570292690701
D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira;D_3__Nitrospirales;D_4__Nitrospiraceae;D_5__Nitrospira,rootstock,0.00214409737625985,0.0485052118263297,0.00341790871558016,0.0374121413396611
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Asticcacaulis,rootstock,0.00035741390432836,0.0251811371448447,0.00512761139678226,0.0796592932907668
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Caulobacterales;D_4__Caulobacteraceae;D_5__Caulobacter,rootstock,0.00091292440083797,0.0344398196298856,0.0345822673170622,0.23210696438448
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Devosiaceae;D_5__Devosia,rootstock,0.00155563567218547,0.0440251648456454,0.00594718863637998,0.0730778233910278
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Myxococcales;D_4__P3OB-42;D_5__Unclassified,rootstock,0.00013947507114064,0.0215130197637378,0.00025518182427345,0.00830765932849105
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Duganella,rootstock,0.00043702375019375,0.025998496871089,0.00100362646342016,0.0149692621971627
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__Methylotenera,rootstock,0.00030466548139724,0.0240723855975898,0.00797197599655125,0.0855464782427078
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Unclassified,rootstock,0.00113154159732768,0.038031514829049,0.0134910366871951,0.144914255808519
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__Unclassified,rootstock,0.00145881820612974,0.0433472118263895,0.00016450708569154,0.0106982307411303
